Spectrum,Nutrient,Concentration,RawIntensity,NormIntensity,File
870.9009,SCINUS-glutaMate,0.02,146.5212723403,7326.063617014999,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
872.9452,SCINUS-glutaMate,0.02,-0.0000000000,0,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
874.9887,SCINUS-glutaMate,0.02,43.4121223955,2170.606119775,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
877.0316,SCINUS-glutaMate,0.02,68.6506227675,3432.531138375,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
879.0738,SCINUS-glutaMate,0.02,71.0133719630,3550.66859815,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
881.1153,SCINUS-glutaMate,0.02,0.0000000000,0,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
883.1562,SCINUS-glutaMate,0.02,115.5124795535,5775.623977675,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
885.1963,SCINUS-glutaMate,0.02,-0.0000000000,0,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
887.2358,SCINUS-glutaMate,0.02,59.3526406241,2967.6320312049997,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
889.2745,SCINUS-glutaMate,0.02,94.9074183469,4745.370917345,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
891.3126,SCINUS-glutaMate,0.02,97.1456802529,4857.284012644999,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
893.35,SCINUS-glutaMate,0.02,65.4549627141,3272.748135705,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
895.3868,SCINUS-glutaMate,0.02,19.9531169781,997.655848905,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
897.4228,SCINUS-glutaMate,0.02,150.3735620965,7518.6781048249995,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
899.4581,SCINUS-glutaMate,0.02,132.1941186245,6609.705931224999,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
901.4928,SCINUS-glutaMate,0.02,34.5497592589,1727.4879629450002,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
903.5268,SCINUS-glutaMate,0.02,66.5257778908,3326.28889454,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
905.5601,SCINUS-glutaMate,0.02,132.8093669390,6640.46834695,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
907.5927,SCINUS-glutaMate,0.02,45.1520738125,2257.603690625,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
909.6246,SCINUS-glutaMate,0.02,20.2068160050,1010.34080025,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
911.6558,SCINUS-glutaMate,0.02,45.7299891220,2286.4994561,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
913.6863,SCINUS-glutaMate,0.02,60.2821894860,3014.1094743,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
915.7162,SCINUS-glutaMate,0.02,190.0442677932,9502.213389659999,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
917.7453,SCINUS-glutaMate,0.02,101.2085619092,5060.42809546,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
919.7738,SCINUS-glutaMate,0.02,182.6261259704,9131.30629852,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
921.8016,SCINUS-glutaMate,0.02,133.6449751718,6682.248758590001,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
923.8287,SCINUS-glutaMate,0.02,109.5699077036,5478.495385179999,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
925.8551,SCINUS-glutaMate,0.02,59.5084175382,2975.42087691,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
927.8808,SCINUS-glutaMate,0.02,66.7498744368,3337.49372184,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
931.9301,SCINUS-glutaMate,0.02,66.8062352097,3340.3117604850004,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
933.9537,SCINUS-glutaMate,0.02,19.5630468408,978.1523420399999,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
935.9767,SCINUS-glutaMate,0.02,18.6252435520,931.2621776,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
937.9989,SCINUS-glutaMate,0.02,0.0000000000,0,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
940.0204,SCINUS-glutaMate,0.02,32.6938529859,1634.6926492950001,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
942.0413,SCINUS-glutaMate,0.02,112.3746935641,5618.734678205,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
944.0615,SCINUS-glutaMate,0.02,120.3222609184,6016.11304592,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
946.0809,SCINUS-glutaMate,0.02,62.6365257532,3131.8262876599997,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
948.0997,SCINUS-glutaMate,0.02,0.0000000000,0,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
950.1178,SCINUS-glutaMate,0.02,141.6515612752,7082.57806376,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
952.1352,SCINUS-glutaMate,0.02,107.1723829092,5358.619145459999,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
954.1518,SCINUS-glutaMate,0.02,243.0482459498,12152.41229749,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
956.1678,SCINUS-glutaMate,0.02,249.6163328822,12480.81664411,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
958.1831,SCINUS-glutaMate,0.02,212.7967832880,10639.8391644,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
960.1977,SCINUS-glutaMate,0.02,270.5861374487,13529.306872435,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
962.2116,SCINUS-glutaMate,0.02,330.0893932933,16504.469664665,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
964.2248,SCINUS-glutaMate,0.02,310.1834502296,15509.17251148,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
966.2373,SCINUS-glutaMate,0.02,280.8627339652,14043.13669826,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
968.2492,SCINUS-glutaMate,0.02,262.2857494661,13114.287473305001,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
970.2603,SCINUS-glutaMate,0.02,208.1204689611,10406.023448054999,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
972.2707,SCINUS-glutaMate,0.02,201.2709671591,10063.548357955,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
974.2804,SCINUS-glutaMate,0.02,207.3417184798,10367.08592399,COR-glutaMate-0.02gL-SCINUS-10sx10-450mW.txt
