Spectrum,Nutrient,Concentration,RawIntensity,NormIntensity,File
879.0738,SCINUS-Glutamine,0.02,22.0528043023,1102.640215115,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
881.1153,SCINUS-Glutamine,0.02,71.0253568296,3551.26784148,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
883.1562,SCINUS-Glutamine,0.02,97.4914774513,4874.573872565,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
885.1963,SCINUS-Glutamine,0.02,50.6959769074,2534.79884537,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
887.2358,SCINUS-Glutamine,0.02,80.9997193450,4049.98596725,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
889.2745,SCINUS-Glutamine,0.02,104.7199362778,5235.99681389,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
891.3126,SCINUS-Glutamine,0.02,137.1326448945,6856.632244725,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
893.35,SCINUS-Glutamine,0.02,87.7599511582,4387.99755791,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
895.3868,SCINUS-Glutamine,0.02,59.9728278923,2998.641394615,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
897.4228,SCINUS-Glutamine,0.02,189.0233109257,9451.165546285,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
899.4581,SCINUS-Glutamine,0.02,123.2500421748,6162.50210874,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
901.4928,SCINUS-Glutamine,0.02,81.8069828635,4090.349143175,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
903.5268,SCINUS-Glutamine,0.02,147.8403118572,7392.01559286,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
905.5601,SCINUS-Glutamine,0.02,175.2916783869,8764.583919345,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
907.5927,SCINUS-Glutamine,0.02,138.4043339081,6920.216695405,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
909.6246,SCINUS-Glutamine,0.02,155.3602552325,7768.012761625,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
911.6558,SCINUS-Glutamine,0.02,88.7267267977,4436.336339885,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
913.6863,SCINUS-Glutamine,0.02,102.5047658111,5125.238290555,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
915.7162,SCINUS-Glutamine,0.02,219.2259460237,10961.297301185,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
917.7453,SCINUS-Glutamine,0.02,181.0255238930,9051.276194650001,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
919.7738,SCINUS-Glutamine,0.02,141.5419250641,7077.096253205001,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
921.8016,SCINUS-Glutamine,0.02,190.9809799805,9549.048999024999,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
923.8287,SCINUS-Glutamine,0.02,83.3223755674,4166.11877837,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
925.8551,SCINUS-Glutamine,0.02,102.8822375065,5144.111875325,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
927.8808,SCINUS-Glutamine,0.02,74.2580576548,3712.9028827399998,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
929.9058,SCINUS-Glutamine,0.02,-0.0000000000,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
931.9301,SCINUS-Glutamine,0.02,170.0703045985,8503.515229925,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
933.9537,SCINUS-Glutamine,0.02,84.9151725286,4245.75862643,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
935.9767,SCINUS-Glutamine,0.02,162.0810485855,8104.052429275001,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
937.9989,SCINUS-Glutamine,0.02,88.7923149242,4439.61574621,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
940.0204,SCINUS-Glutamine,0.02,62.0078846816,3100.39423408,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
942.0413,SCINUS-Glutamine,0.02,100.0781859419,5003.909297095,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
944.0615,SCINUS-Glutamine,0.02,144.1931764013,7209.658820065,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
946.0809,SCINUS-Glutamine,0.02,169.1744023203,8458.720116015,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
948.0997,SCINUS-Glutamine,0.02,84.1229233251,4206.146166255,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
950.1178,SCINUS-Glutamine,0.02,265.3233547839,13266.167739195,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
952.1352,SCINUS-Glutamine,0.02,229.2236147917,11461.180739585,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
954.1518,SCINUS-Glutamine,0.02,286.1308538669,14306.542693345,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
956.1678,SCINUS-Glutamine,0.02,227.5078273300,11375.3913665,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
958.1831,SCINUS-Glutamine,0.02,345.9794105912,17298.97052956,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
960.1977,SCINUS-Glutamine,0.02,333.9090802292,16695.45401146,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
962.2116,SCINUS-Glutamine,0.02,394.2598584166,19712.992920830002,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
964.2248,SCINUS-Glutamine,0.02,337.6977451490,16884.887257450002,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
966.2373,SCINUS-Glutamine,0.02,382.2020753800,19110.103769,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
968.2492,SCINUS-Glutamine,0.02,322.0024382212,16100.12191106,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
970.2603,SCINUS-Glutamine,0.02,324.7434693876,16237.173469379999,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
972.2707,SCINUS-Glutamine,0.02,299.3667142242,14968.33571121,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
974.2804,SCINUS-Glutamine,0.02,361.2186493882,18060.93246941,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
976.2894,SCINUS-Glutamine,0.02,448.0889940362,22404.44970181,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
978.2977,SCINUS-Glutamine,0.02,499.0325231651,24951.626158255,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
980.3053,SCINUS-Glutamine,0.02,618.3773570096,30918.86785048,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
982.3123,SCINUS-Glutamine,0.02,590.2481705639,29512.408528195,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
984.3185,SCINUS-Glutamine,0.02,619.3555405747,30967.777028734996,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
986.324,SCINUS-Glutamine,0.02,568.4790664628,28423.95332314,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
988.3288,SCINUS-Glutamine,0.02,525.0415489091,26252.077445455,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
990.3329,SCINUS-Glutamine,0.02,554.5301797949,27726.508989745,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
992.3363,SCINUS-Glutamine,0.02,503.8161006230,25190.80503115,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
994.3391,SCINUS-Glutamine,0.02,513.5114844967,25675.574224834996,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
996.3411,SCINUS-Glutamine,0.02,433.4368736527,21671.843682635,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
998.3424,SCINUS-Glutamine,0.02,645.0612574819,32253.062874095,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1000.343,SCINUS-Glutamine,0.02,748.7191103867,37435.955519334995,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1002.3429,SCINUS-Glutamine,0.02,984.5900296389,49229.501481945,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1004.3421,SCINUS-Glutamine,0.02,1052.8507192415,52642.535962074995,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1006.3406,SCINUS-Glutamine,0.02,948.8190852111,47440.954260554994,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1008.3384,SCINUS-Glutamine,0.02,778.9182619248,38945.91309624,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1010.3355,SCINUS-Glutamine,0.02,747.5118926028,37375.594630139996,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1012.3318,SCINUS-Glutamine,0.02,588.7316190569,29436.580952844997,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1014.3275,SCINUS-Glutamine,0.02,648.6446436231,32432.232181155,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1016.3225,SCINUS-Glutamine,0.02,652.2989369360,32614.9468468,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1018.3168,SCINUS-Glutamine,0.02,584.0640633386,29203.20316693,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1020.3103,SCINUS-Glutamine,0.02,428.4845019188,21424.22509594,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1022.3032,SCINUS-Glutamine,0.02,412.7543427992,20637.71713996,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1024.2953,SCINUS-Glutamine,0.02,252.0801855764,12604.00927882,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1026.2868,SCINUS-Glutamine,0.02,241.7485707233,12087.428536165,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1028.2775,SCINUS-Glutamine,0.02,191.8941549149,9594.707745745001,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1030.2676,SCINUS-Glutamine,0.02,195.9765890581,9798.829452905,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1032.2569,SCINUS-Glutamine,0.02,164.8796110014,8243.98055007,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1034.2455,SCINUS-Glutamine,0.02,42.1183287727,2105.9164386350003,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1036.2334,SCINUS-Glutamine,0.02,17.2400550671,862.0027533549999,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1038.2206,SCINUS-Glutamine,0.02,6.4126673408,320.63336704,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1040.2071,SCINUS-Glutamine,0.02,3.1301585818,156.50792909,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1042.1929,SCINUS-Glutamine,0.02,-0.0000000000,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1044.178,SCINUS-Glutamine,0.02,13.2586930240,662.9346512,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1046.1624,SCINUS-Glutamine,0.02,15.4854978588,774.27489294,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1048.146,SCINUS-Glutamine,0.02,-0.0000000000,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1050.129,SCINUS-Glutamine,0.02,26.6345947659,1331.729738295,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1052.1112,SCINUS-Glutamine,0.02,6.4240852597,321.204262985,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1054.0928,SCINUS-Glutamine,0.02,16.4146436990,820.7321849499999,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1056.0736,SCINUS-Glutamine,0.02,17.8200588858,891.0029442900001,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1058.0537,SCINUS-Glutamine,0.02,-0.0000000000,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1060.0331,SCINUS-Glutamine,0.02,16.8333696060,841.6684803,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1062.0118,SCINUS-Glutamine,0.02,40.0481451606,2002.40725803,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1063.9898,SCINUS-Glutamine,0.02,14.1611752127,708.058760635,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1065.9671,SCINUS-Glutamine,0.02,123.7841431697,6189.207158485,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1067.9436,SCINUS-Glutamine,0.02,89.5106561474,4475.53280737,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1069.9195,SCINUS-Glutamine,0.02,41.3815388452,2069.0769422599997,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1071.8946,SCINUS-Glutamine,0.02,69.7823986745,3489.119933725,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1073.869,SCINUS-Glutamine,0.02,76.5576106308,3827.88053154,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1075.8427,SCINUS-Glutamine,0.02,32.9670607153,1648.353035765,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1077.8157,SCINUS-Glutamine,0.02,29.4570272636,1472.85136318,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1079.788,SCINUS-Glutamine,0.02,112.8127298674,5640.63649337,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1081.7596,SCINUS-Glutamine,0.02,106.8931846470,5344.65923235,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1083.7304,SCINUS-Glutamine,0.02,94.0459384553,4702.296922765,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1085.7006,SCINUS-Glutamine,0.02,84.3161486543,4215.807432715,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1087.67,SCINUS-Glutamine,0.02,76.5248521472,3826.2426073599995,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1089.6387,SCINUS-Glutamine,0.02,15.4878912018,774.39456009,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1091.6067,SCINUS-Glutamine,0.02,6.7494026408,337.47013203999995,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1093.574,SCINUS-Glutamine,0.02,0.0000000000,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1095.5406,SCINUS-Glutamine,0.02,35.1458783770,1757.2939188500002,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1097.5064,SCINUS-Glutamine,0.02,0.0000000000,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1099.4716,SCINUS-Glutamine,0.02,47.0029413868,2350.14706934,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1101.436,SCINUS-Glutamine,0.02,68.4200056420,3421.0002821000003,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1103.3997,SCINUS-Glutamine,0.02,59.8569697752,2992.84848876,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1105.3627,SCINUS-Glutamine,0.02,93.6150724419,4680.753622095,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1107.3249,SCINUS-Glutamine,0.02,47.2491343231,2362.456716155,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1109.2865,SCINUS-Glutamine,0.02,0,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1111.2473,SCINUS-Glutamine,0.02,62.4505436246,3122.52718123,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1113.2075,SCINUS-Glutamine,0.02,90.7509001575,4537.545007875,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1115.1669,SCINUS-Glutamine,0.02,63.4343446408,3171.71723204,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1117.1256,SCINUS-Glutamine,0.02,28.8566147279,1442.8307363949998,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1119.0835,SCINUS-Glutamine,0.02,79.7540225693,3987.7011284650002,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1121.0408,SCINUS-Glutamine,0.02,127.3694257978,6368.47128989,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1122.9973,SCINUS-Glutamine,0.02,162.9232393554,8146.16196777,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1124.9531,SCINUS-Glutamine,0.02,158.7392259757,7936.9612987850005,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1126.9082,SCINUS-Glutamine,0.02,82.9440483505,4147.202417525,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1128.8626,SCINUS-Glutamine,0.02,141.5850993918,7079.254969589999,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1130.8163,SCINUS-Glutamine,0.02,81.5002166650,4075.01083325,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1132.7692,SCINUS-Glutamine,0.02,88.5360463887,4426.802319435,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1134.7214,SCINUS-Glutamine,0.02,13.4415170923,672.075854615,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1136.6729,SCINUS-Glutamine,0.02,60.0650832948,3003.25416474,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1138.6237,SCINUS-Glutamine,0.02,-0.0000000000,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1140.5738,SCINUS-Glutamine,0.02,-0.0000000000,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1142.5231,SCINUS-Glutamine,0.02,0.0000000000,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1144.4717,SCINUS-Glutamine,0.02,44.7566861026,2237.83430513,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1146.4196,SCINUS-Glutamine,0.02,1.5850179318,79.25089659,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1148.3668,SCINUS-Glutamine,0.02,82.8882098441,4144.410492205,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1150.3132,SCINUS-Glutamine,0.02,115.5280209944,5776.40104972,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1152.259,SCINUS-Glutamine,0.02,153.5120147464,7675.600737320001,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1154.204,SCINUS-Glutamine,0.02,204.1317152039,10206.585760195,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1156.1483,SCINUS-Glutamine,0.02,250.7819783114,12539.098915569999,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1158.0919,SCINUS-Glutamine,0.02,310.7728332843,15538.641664215002,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1160.0347,SCINUS-Glutamine,0.02,319.8002595389,15990.012976945,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1161.9768,SCINUS-Glutamine,0.02,297.2586387200,14862.931936,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1163.9182,SCINUS-Glutamine,0.02,339.0968107872,16954.84053936,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1165.8589,SCINUS-Glutamine,0.02,255.8176898971,12790.884494855,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1167.7989,SCINUS-Glutamine,0.02,301.0599737723,15052.998688615,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1169.7381,SCINUS-Glutamine,0.02,278.8537843437,13942.689217185,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1171.6766,SCINUS-Glutamine,0.02,313.6974823679,15684.874118395,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1173.6144,SCINUS-Glutamine,0.02,206.1026019665,10305.130098325,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1175.5514,SCINUS-Glutamine,0.02,258.0021362269,12900.106811345,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1177.4878,SCINUS-Glutamine,0.02,135.0203292550,6751.01646275,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1179.4234,SCINUS-Glutamine,0.02,123.9433587857,6197.167939285,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1181.3583,SCINUS-Glutamine,0.02,146.2956211862,7314.78105931,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1183.2924,SCINUS-Glutamine,0.02,131.5686164915,6578.430824575,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1185.2259,SCINUS-Glutamine,0.02,84.1776872293,4208.884361465,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1187.1586,SCINUS-Glutamine,0.02,109.4240076209,5471.200381045,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
