Spectrum,Nutrient,Concentration,Intensity,File
893.35,Solution-Glutamine,0.02,87.7599511582,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
895.3868,Solution-Glutamine,0.02,59.9728278923,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
897.4228,Solution-Glutamine,0.02,189.0233109257,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
899.4581,Solution-Glutamine,0.02,123.2500421748,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
901.4928,Solution-Glutamine,0.02,81.8069828635,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
903.5268,Solution-Glutamine,0.02,147.8403118572,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
905.5601,Solution-Glutamine,0.02,175.2916783869,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
907.5927,Solution-Glutamine,0.02,138.4043339081,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
909.6246,Solution-Glutamine,0.02,155.3602552325,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
911.6558,Solution-Glutamine,0.02,88.7267267977,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
913.6863,Solution-Glutamine,0.02,102.5047658111,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
915.7162,Solution-Glutamine,0.02,219.2259460237,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
917.7453,Solution-Glutamine,0.02,181.0255238930,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
919.7738,Solution-Glutamine,0.02,141.5419250641,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
921.8016,Solution-Glutamine,0.02,190.9809799805,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
923.8287,Solution-Glutamine,0.02,83.3223755674,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
925.8551,Solution-Glutamine,0.02,102.8822375065,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
927.8808,Solution-Glutamine,0.02,74.2580576548,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
929.9058,Solution-Glutamine,0.02,-0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
931.9301,Solution-Glutamine,0.02,170.0703045985,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
933.9537,Solution-Glutamine,0.02,84.9151725286,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
935.9767,Solution-Glutamine,0.02,162.0810485855,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
937.9989,Solution-Glutamine,0.02,88.7923149242,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
940.0204,Solution-Glutamine,0.02,62.0078846816,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
942.0413,Solution-Glutamine,0.02,100.0781859419,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
944.0615,Solution-Glutamine,0.02,144.1931764013,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
946.0809,Solution-Glutamine,0.02,169.1744023203,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
948.0997,Solution-Glutamine,0.02,84.1229233251,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
950.1178,Solution-Glutamine,0.02,265.3233547839,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
952.1352,Solution-Glutamine,0.02,229.2236147917,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
954.1518,Solution-Glutamine,0.02,286.1308538669,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
956.1678,Solution-Glutamine,0.02,227.5078273300,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
958.1831,Solution-Glutamine,0.02,345.9794105912,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
960.1977,Solution-Glutamine,0.02,333.9090802292,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
962.2116,Solution-Glutamine,0.02,394.2598584166,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
964.2248,Solution-Glutamine,0.02,337.6977451490,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
966.2373,Solution-Glutamine,0.02,382.2020753800,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
968.2492,Solution-Glutamine,0.02,322.0024382212,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
970.2603,Solution-Glutamine,0.02,324.7434693876,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
972.2707,Solution-Glutamine,0.02,299.3667142242,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
974.2804,Solution-Glutamine,0.02,361.2186493882,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
976.2894,Solution-Glutamine,0.02,448.0889940362,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
978.2977,Solution-Glutamine,0.02,499.0325231651,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
980.3053,Solution-Glutamine,0.02,618.3773570096,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
982.3123,Solution-Glutamine,0.02,590.2481705639,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
984.3185,Solution-Glutamine,0.02,619.3555405747,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
986.324,Solution-Glutamine,0.02,568.4790664628,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
988.3288,Solution-Glutamine,0.02,525.0415489091,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
990.3329,Solution-Glutamine,0.02,554.5301797949,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
992.3363,Solution-Glutamine,0.02,503.8161006230,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
994.3391,Solution-Glutamine,0.02,513.5114844967,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
996.3411,Solution-Glutamine,0.02,433.4368736527,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
998.3424,Solution-Glutamine,0.02,645.0612574819,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1000.343,Solution-Glutamine,0.02,748.7191103867,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1002.3429,Solution-Glutamine,0.02,984.5900296389,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1004.3421,Solution-Glutamine,0.02,1052.8507192415,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1006.3406,Solution-Glutamine,0.02,948.8190852111,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
