Spectrum,Nutrient,Concentration,Intensity,File
885.1963,D1-CNR-Sulfate,10.5,825.7781949102,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
887.2358,D1-CNR-Sulfate,10.5,724.6468788235,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
889.2745,D1-CNR-Sulfate,10.5,789.8024767368,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
891.3126,D1-CNR-Sulfate,10.5,706.8878046667,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
893.35,D1-CNR-Sulfate,10.5,658.7291059766,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
895.3868,D1-CNR-Sulfate,10.5,676.9717474191,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
897.4228,D1-CNR-Sulfate,10.5,776.2840905033,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
899.4581,D1-CNR-Sulfate,10.5,696.9864917257,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
901.4928,D1-CNR-Sulfate,10.5,591.3732398109,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
903.5268,D1-CNR-Sulfate,10.5,571.3178151151,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
905.5601,D1-CNR-Sulfate,10.5,634.0366193391,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
907.5927,D1-CNR-Sulfate,10.5,528.8044347489,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
909.6246,D1-CNR-Sulfate,10.5,548.4605386124,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
911.6558,D1-CNR-Sulfate,10.5,607.2806426258,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
913.6863,D1-CNR-Sulfate,10.5,677.3787767835,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
915.7162,D1-CNR-Sulfate,10.5,761.9990071490,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
917.7453,D1-CNR-Sulfate,10.5,690.9810169429,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
919.7738,D1-CNR-Sulfate,10.5,669.0336486168,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
921.8016,D1-CNR-Sulfate,10.5,611.3942690986,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
923.8287,D1-CNR-Sulfate,10.5,409.0170395038,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
925.8551,D1-CNR-Sulfate,10.5,286.4067971182,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
927.8808,D1-CNR-Sulfate,10.5,208.8141869527,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
933.9537,D1-CNR-Sulfate,10.5,-0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
935.9767,D1-CNR-Sulfate,10.5,0.7129525382,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
937.9989,D1-CNR-Sulfate,10.5,0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
940.0204,D1-CNR-Sulfate,10.5,0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
942.0413,D1-CNR-Sulfate,10.5,2.7788361028,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
944.0615,D1-CNR-Sulfate,10.5,30.0470722371,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
946.0809,D1-CNR-Sulfate,10.5,-0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
948.0997,D1-CNR-Sulfate,10.5,-0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
950.1178,D1-CNR-Sulfate,10.5,112.6679880334,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
952.1352,D1-CNR-Sulfate,10.5,9.1920459604,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
954.1518,D1-CNR-Sulfate,10.5,61.4421868775,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
956.1678,D1-CNR-Sulfate,10.5,-0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
958.1831,D1-CNR-Sulfate,10.5,0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
960.1977,D1-CNR-Sulfate,10.5,67.7751599659,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
962.2116,D1-CNR-Sulfate,10.5,184.4885062440,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
964.2248,D1-CNR-Sulfate,10.5,333.4776890125,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
966.2373,D1-CNR-Sulfate,10.5,550.9118024105,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
968.2492,D1-CNR-Sulfate,10.5,733.2956959775,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
970.2603,D1-CNR-Sulfate,10.5,1179.1708426769,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
972.2707,D1-CNR-Sulfate,10.5,2075.5260403433,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
974.2804,D1-CNR-Sulfate,10.5,3716.6856455382,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
976.2894,D1-CNR-Sulfate,10.5,6742.8000792211,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
978.2977,D1-CNR-Sulfate,10.5,10950.9131523148,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
980.3053,D1-CNR-Sulfate,10.5,14612.5493470763,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
982.3123,D1-CNR-Sulfate,10.5,15150.6129007352,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
984.3185,D1-CNR-Sulfate,10.5,12163.7823517489,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
986.324,D1-CNR-Sulfate,10.5,7983.6996577714,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
988.3288,D1-CNR-Sulfate,10.5,4726.7025714104,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
990.3329,D1-CNR-Sulfate,10.5,2839.6947169422,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
992.3363,D1-CNR-Sulfate,10.5,1659.3570927991,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
994.3391,D1-CNR-Sulfate,10.5,1150.5633946759,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
996.3411,D1-CNR-Sulfate,10.5,722.5896258344,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
998.3424,D1-CNR-Sulfate,10.5,560.0701013607,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1000.343,D1-CNR-Sulfate,10.5,368.9042751113,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1002.3429,D1-CNR-Sulfate,10.5,300.6624208252,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
