Spectrum,Nutrient,Concentration,Intensity,File
889.2745,D1-CNR-Glucose,10.1,901.0599430789,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
891.3126,D1-CNR-Glucose,10.1,835.3815326333,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
893.35,D1-CNR-Glucose,10.1,849.7906457045,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
895.3868,D1-CNR-Glucose,10.1,750.7248657151,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
897.4228,D1-CNR-Glucose,10.1,917.5933762012,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
899.4581,D1-CNR-Glucose,10.1,816.0644613834,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
901.4928,D1-CNR-Glucose,10.1,717.1604677912,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
903.5268,D1-CNR-Glucose,10.1,688.5633208214,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
905.5601,D1-CNR-Glucose,10.1,677.1303727056,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
907.5927,D1-CNR-Glucose,10.1,578.8730073259,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
909.6246,D1-CNR-Glucose,10.1,580.4112488279,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
911.6558,D1-CNR-Glucose,10.1,638.6512912372,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
913.6863,D1-CNR-Glucose,10.1,635.8663895321,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
915.7162,D1-CNR-Glucose,10.1,676.8085270450,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
917.7453,D1-CNR-Glucose,10.1,631.1931019405,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
919.7738,D1-CNR-Glucose,10.1,592.9980704826,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
921.8016,D1-CNR-Glucose,10.1,499.6675561176,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
923.8287,D1-CNR-Glucose,10.1,354.4091532024,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
925.8551,D1-CNR-Glucose,10.1,250.2705027706,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
927.8808,D1-CNR-Glucose,10.1,173.8569739079,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
933.9537,D1-CNR-Glucose,10.1,0.0000000000,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
935.9767,D1-CNR-Glucose,10.1,0.0000000000,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
937.9989,D1-CNR-Glucose,10.1,28.0638750496,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
940.0204,D1-CNR-Glucose,10.1,0.0000000000,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
942.0413,D1-CNR-Glucose,10.1,7.8704996568,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
944.0615,D1-CNR-Glucose,10.1,70.5387866857,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
946.0809,D1-CNR-Glucose,10.1,36.4331589627,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
948.0997,D1-CNR-Glucose,10.1,0.0000000000,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
950.1178,D1-CNR-Glucose,10.1,124.1745897076,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
952.1352,D1-CNR-Glucose,10.1,65.5580342223,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
954.1518,D1-CNR-Glucose,10.1,133.9052737171,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
956.1678,D1-CNR-Glucose,10.1,28.2003045228,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
958.1831,D1-CNR-Glucose,10.1,0.0000000000,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
960.1977,D1-CNR-Glucose,10.1,0.0000000000,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
962.2116,D1-CNR-Glucose,10.1,45.6439491403,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
964.2248,D1-CNR-Glucose,10.1,70.9474250506,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
966.2373,D1-CNR-Glucose,10.1,186.1729107745,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
968.2492,D1-CNR-Glucose,10.1,196.4000472368,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
970.2603,D1-CNR-Glucose,10.1,290.9748920117,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
972.2707,D1-CNR-Glucose,10.1,589.7098380418,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
974.2804,D1-CNR-Glucose,10.1,1158.4504816253,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
976.2894,D1-CNR-Glucose,10.1,2192.4605112314,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
978.2977,D1-CNR-Glucose,10.1,3552.7141352914,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
980.3053,D1-CNR-Glucose,10.1,4706.3771231550,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
982.3123,D1-CNR-Glucose,10.1,4725.2860140305,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
984.3185,D1-CNR-Glucose,10.1,3676.6603860724,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
986.324,D1-CNR-Glucose,10.1,2277.6843921469,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
988.3288,D1-CNR-Glucose,10.1,1237.6132719035,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
990.3329,D1-CNR-Glucose,10.1,690.9519905245,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
992.3363,D1-CNR-Glucose,10.1,303.4417324742,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
994.3391,D1-CNR-Glucose,10.1,270.9719694473,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
996.3411,D1-CNR-Glucose,10.1,160.1632122886,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
998.3424,D1-CNR-Glucose,10.1,140.0143090824,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1000.343,D1-CNR-Glucose,10.1,147.9963744469,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1002.3429,D1-CNR-Glucose,10.1,101.7762903341,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1004.3421,D1-CNR-Glucose,10.1,60.4276208010,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1006.3406,D1-CNR-Glucose,10.1,222.3525926321,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1008.3384,D1-CNR-Glucose,10.1,300.2497460517,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1010.3355,D1-CNR-Glucose,10.1,394.3748700114,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1012.3318,D1-CNR-Glucose,10.1,459.7192024693,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1014.3275,D1-CNR-Glucose,10.1,631.3087127777,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1016.3225,D1-CNR-Glucose,10.1,738.8730458595,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1018.3168,D1-CNR-Glucose,10.1,786.1795557536,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1020.3103,D1-CNR-Glucose,10.1,839.7801793325,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1022.3032,D1-CNR-Glucose,10.1,977.7107885004,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1024.2953,D1-CNR-Glucose,10.1,1160.4392124226,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1026.2868,D1-CNR-Glucose,10.1,1362.5983690154,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1028.2775,D1-CNR-Glucose,10.1,1702.0327127950,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1030.2676,D1-CNR-Glucose,10.1,2020.6699924749,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1032.2569,D1-CNR-Glucose,10.1,2540.9288611241,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1034.2455,D1-CNR-Glucose,10.1,3264.3422838302,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1036.2334,D1-CNR-Glucose,10.1,4469.4840833598,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1038.2206,D1-CNR-Glucose,10.1,6336.4546899444,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1040.2071,D1-CNR-Glucose,10.1,9646.3979523540,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1042.1929,D1-CNR-Glucose,10.1,15181.9158574717,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1044.178,D1-CNR-Glucose,10.1,23544.6809015440,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1046.1624,D1-CNR-Glucose,10.1,32085.4412705132,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1048.146,D1-CNR-Glucose,10.1,35420.6066619637,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1050.129,D1-CNR-Glucose,10.1,31544.4260536617,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1052.1112,D1-CNR-Glucose,10.1,23141.8170902727,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1054.0928,D1-CNR-Glucose,10.1,15455.2267048799,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1056.0736,D1-CNR-Glucose,10.1,10220.2390235593,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1058.0537,D1-CNR-Glucose,10.1,7072.9774950658,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1060.0331,D1-CNR-Glucose,10.1,5265.6635139838,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1062.0118,D1-CNR-Glucose,10.1,4221.5791416593,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1063.9898,D1-CNR-Glucose,10.1,3533.4301158866,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1065.9671,D1-CNR-Glucose,10.1,3207.4452930050,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1067.9436,D1-CNR-Glucose,10.1,2884.4116319753,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1069.9195,D1-CNR-Glucose,10.1,2642.6430825425,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1071.8946,D1-CNR-Glucose,10.1,2506.6520006040,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1073.869,D1-CNR-Glucose,10.1,2428.2567251369,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1077.8157,D1-CNR-Glucose,10.1,2225.5726788080,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1079.788,D1-CNR-Glucose,10.1,2110.1242391825,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1081.7596,D1-CNR-Glucose,10.1,1877.8419136131,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1083.7304,D1-CNR-Glucose,10.1,1597.0693357949,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1085.7006,D1-CNR-Glucose,10.1,1379.6615531987,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1087.67,D1-CNR-Glucose,10.1,1185.3620668383,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1089.6387,D1-CNR-Glucose,10.1,936.0135782317,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
